full_name,cohort_neat,main,cohab
NO2,ALSPAC,"1.05 (0.91, 1.21)","0.9 (0.76, 1.06)"
NO2,BiB,"0.16 (0.12, 0.22)","0.31 (0.17, 0.54)"
NO2,DNBC,"0.99 (0.89, 1.12)","1 (0.88, 1.15)"
NO2,GENR,"1.07 (0.92, 1.23)","1.39 (1.08, 1.79)"
NO2,MoBa,"0.99 (0.92, 1.07)","1 (0.92, 1.07)"
PM2.5,ALSPAC,"1.07 (0.86, 1.34)","1.02 (0.79, 1.31)"
PM2.5,BiB,"0.09 (0.06, 0.12)","0.18 (0.1, 0.32)"
PM2.5,DNBC,"1.01 (0.91, 1.11)","1.03 (0.92, 1.15)"
PM2.5,GENR,"1.07 (0.89, 1.28)","1.88 (1.19, 2.94)"
PM2.5,MoBa,"1.06 (0.97, 1.17)","1.08 (0.98, 1.2)"
PM10,BiB,"0.1 (0.07, 0.14)","0.24 (0.13, 0.44)"
PM10,GENR,"1.06 (0.9, 1.27)","1.79 (1.21, 2.66)"
PM10,MoBa,"1.01 (0.92, 1.12)","1.02 (0.92, 1.13)"
55-55.9 dB,ALSPAC,"1.08 (0.87, 1.36)","1.3 (0.99, 1.7)"
55-55.9 dB,BiB,"1.04 (0.79, 1.39)","1.6 (0.94, 2.72)"
55-55.9 dB,DNBC,"1.03 (0.85, 1.25)","1.06 (0.85, 1.32)"
55-55.9 dB,GENR,"1.01 (0.7, 1.45)","1.36 (0.66, 2.77)"
55-55.9 dB,MoBa,"0.95 (0.78, 1.17)","0.94 (0.76, 1.16)"
60-64.9 dB,ALSPAC,"1.11 (0.84, 1.45)","1.26 (0.91, 1.75)"
60-64.9 dB,BiB,"0.73 (0.45, 1.19)","1.02 (0.44, 2.39)"
60-64.9 dB,DNBC,"1.03 (0.83, 1.27)","0.92 (0.71, 1.2)"
60-64.9 dB,GENR,"1.13 (0.81, 1.58)","1.65 (0.86, 3.13)"
60-64.9 dB,MoBa,"1.02 (0.8, 1.3)","1.04 (0.81, 1.32)"
65-69.9 dB,ALSPAC,"0.85 (0.38, 1.88)","0.44 (0.1, 1.82)"
65-69.9 dB,BiB,"0.52 (0.19, 1.43)","1.26 (0.28, 5.58)"
65-69.9 dB,DNBC,"1.19 (0.91, 1.55)","1.13 (0.82, 1.55)"
65-69.9 dB,GENR,"1.22 (0.85, 1.77)","2.29 (1.2, 4.44)"
65-69.9 dB,MoBa,"1.27 (0.95, 1.7)","1.25 (0.92, 1.68)"
>70 dB,ALSPAC,"1 (0.23, 4.35)","1.07 (0.14, 8.33)"
>70 dB,BiB,"1.26 (0.17, 9.39)","0 (0, Inf)"
>70 dB,DNBC,"1.21 (0.85, 1.72)","1.22 (0.81, 1.84)"
>70 dB,GENR,"1.4 (0.7, 2.83)","1.58 (0.35, 7.24)"
NDVI,ALSPAC,"0.91 (0.8, 1.04)","1.06 (0.91, 1.25)"
NDVI,BiB,"1.02 (0.85, 1.22)","0.87 (0.62, 1.23)"
NDVI,DNBC,"0.97 (0.86, 1.08)","1.07 (0.93, 1.22)"
NDVI,GENR,"0.88 (0.73, 1.06)","0.72 (0.49, 1.05)"
NDVI,MoBa,"0.9 (0.81, 1.02)","0.9 (0.8, 1.01)"
Green space > 5000m2 within 300m,ALSPAC,"1.03 (0.85, 1.23)","1.11 (0.89, 1.38)"
Green space > 5000m2 within 300m,BiB,"0.86 (0.64, 1.15)","0.99 (0.58, 1.68)"
Green space > 5000m2 within 300m,DNBC,"1.08 (0.92, 1.26)","1.11 (0.92, 1.32)"
Green space > 5000m2 within 300m,GENR,"0.91 (0.68, 1.22)","1.14 (0.63, 2.08)"
Green space > 5000m2 within 300m,MoBa,"0.92 (0.78, 1.08)","0.91 (0.77, 1.08)"
Blue space > 5000m2 within 300m,ALSPAC,"1.2 (0.9, 1.6)","1.11 (0.79, 1.57)"
Blue space > 5000m2 within 300m,BiB,"1.95 (1.04, 3.63)","2.46 (0.79, 7.61)"
Blue space > 5000m2 within 300m,DNBC,"1.03 (0.86, 1.23)","1.06 (0.85, 1.32)"
Blue space > 5000m2 within 300m,GENR,"1.11 (0.86, 1.4)","0.99 (0.62, 1.6)"
Blue space > 5000m2 within 300m,MoBa,"1.13 (0.86, 1.48)","1.12 (0.84, 1.48)"
Facility richness,ALSPAC,"1.16 (1.02, 1.31)","1.09 (0.94, 1.26)"
Facility richness,BiB,"0.96 (0.77, 1.19)","1.2 (0.82, 1.75)"
Facility richness,DNBC,"1 (0.91, 1.08)","0.97 (0.88, 1.08)"
Facility richness,GENR,"1.05 (0.9, 1.21)","1.32 (1.01, 1.73)"
Facility richness,MoBa,"1.07 (0.97, 1.19)","1.08 (0.97, 1.2)"
Walkability score,ALSPAC,"1.22 (1.07, 1.39)","1.14 (0.97, 1.32)"
Walkability score,BiB,"0.97 (0.8, 1.17)","1.11 (0.78, 1.57)"
Walkability score,DNBC,"1.02 (0.94, 1.11)","0.97 (0.88, 1.07)"
Walkability score,GENR,"0.92 (0.73, 1.16)","1.32 (0.85, 2.08)"
Walkability score,MoBa,"1.09 (0.99, 1.21)","1.09 (0.99, 1.21)"
Population density,ALSPAC,"1.06 (0.92, 1.23)","1.04 (0.88, 1.23)"
Population density,BiB,"0.94 (0.82, 1.08)","0.93 (0.73, 1.2)"
Population density,DNBC,"0.98 (0.91, 1.05)","0.94 (0.87, 1.03)"
Population density,GENR,"2.01 (0.53, 7.61)","30.27 (0.7, 1299.84)"
Population density,MoBa,"1.05 (0.99, 1.12)","1.05 (0.99, 1.12)"
